,index,Water_all_overlap_factor_100,Chi0n,Chi0v,Chi1n,Chi1v,Chi2n,Chi3n,Chi3v,Chi4n,HallKierAlpha,PEOE_VSA3,PEOE_VSA4,SMR_VSA4,SMR_VSA6,SlogP_VSA1,SlogP_VSA2,TPSA,VSA_EState4,NHOHCount,NumAliphaticRings,NumHeteroatoms,NumSaturatedRings,fr_Al_OH,fr_Al_OH_noTert,fr_NH1,fr_NH2,fr_ether
206,207,34.2253298,8.04011122,8.04011122,4.257272495,4.257272495,3.356141943,1.571164043,1.571164043,0.970868274,-1.1,0.0,0.0,17.385241,6.544756406,16.78412356,24.40095669,98.21,10.18065098,5,0,5,0,0,0,1,2,0
207,208,27.586916,7.445708631,7.445708631,4.529822128,4.529822128,3.130495168,2.297366596,2.297366596,1.519348531,-0.16,0.0,0.0,0.0,52.48230236,0.0,72.49517662,46.94,0.0,2,1,4,1,2,2,0,0,0
208,209,28.0584698,4.054132499,4.054132499,2.397931356,2.397931356,1.529565065,0.908034621,0.908034621,0.551595235,-0.12,0.0,0.0,0.0,19.69639478,5.316788604,31.0929489,41.49,0.0,2,1,3,1,1,1,1,0,1
209,210,31.5133457,7.923415484,7.923415484,4.408631167,4.408631167,3.106224167,1.858311196,1.858311196,1.20344828,-1.43,0.0,0.0,0.0,13.08951281,15.95036581,36.85289283,87.3,0.0,3,1,6,1,0,0,3,0,0
210,211,31.7463526,7.222273975,7.222273975,4.093752911,4.093752911,2.685987513,1.734528852,1.734528852,1.05511651,-0.81,4.794537184,0.0,0.0,33.35094872,15.95036581,45.42390407,62.39,0.0,3,1,5,1,0,0,3,0,1
211,212,32.0069945,5.399812122,5.399812122,2.907012842,2.907012842,2.299910942,1.803768314,1.803768314,0.849207372,-0.61,0.0,0.0,5.733667477,20.13718479,16.36724469,31.58328978,67.15,4.643472222,4,1,4,1,0,0,2,1,0
212,213,27.9876321,4.76123928,4.76123928,2.852303141,2.852303141,1.912111847,1.182887288,1.182887288,0.622227258,-0.12,0.0,0.0,0.0,26.3654023,5.316788604,37.51377052,41.49,0.0,2,1,3,1,1,1,1,0,1
213,214,29.2242867,6.923415484,6.923415484,3.797877056,3.797877056,2.616060533,1.665551935,1.665551935,1.053736098,-0.94,0.0,0.0,0.0,20.26143591,10.63357721,38.1176362,67.43,0.0,2,1,5,1,0,0,2,0,1
214,215,31.9123154,7.923415484,7.923415484,4.408631167,4.408631167,3.106224167,1.858311196,1.858311196,1.20344828,-1.43,0.0,0.0,0.0,13.08951281,15.95036581,36.85289283,87.3,0.0,3,1,6,1,0,0,3,0,0
215,216,34.4871016,6.871009241,7.687505822,3.408083843,4.562784382,2.256953292,1.086036734,2.029317463,0.420688328,-0.75,0.0,0.0,11.46733495,11.629642,16.78412356,29.48584228,98.21,10.23866339,5,0,6,0,0,0,1,2,0
